TxnID,ValueDate,Description,Debit,Credit,Balance_KRW_k,CCY,FXRate
BK00001,04/01/2026,IMPORT PAYMENT,216000,,8155201,USD,1364.81
BK00002,04/01/2026,INTEREST,,229000,8473172,USD,1388.52
BK00003,04/02/2026,INTEREST,,773000,8473945,KRW,1.0
BK00004,04/03/2026,BANK FEE,153000,,8264389,USD,1369.65
BK00005,04/04/2026,EXPORT PROCEEDS,,145000,8264534,KRW,1.0
BK00006,04/04/2026,FREIGHT CHARGE,520000,,7547994,USD,1377.96
BK00007,04/05/2026,FREIGHT CHARGE,430000,,6950385,USD,1389.79
BK00008,04/06/2026,TT REMITTANCE IN,,1226000,8692053,USD,1420.61
BK00009,04/07/2026,EXPORT PROCEEDS,,591000,9516563,USD,1395.11
BK00010,04/07/2026,FREIGHT CHARGE,1003000,,8146314,USD,1366.15
BK00011,04/08/2026,IMPORT PAYMENT,503000,,8145811,KRW,1.0
BK00012,04/09/2026,BANK FEE,873000,,8144938,KRW,1.0
BK00013,04/10/2026,INTEREST,,1460000,10160381,USD,1380.44
BK00014,04/10/2026,TT REMITTANCE IN,,813000,10161194,KRW,1.0
BK00015,04/11/2026,LC NEGOTIATION,,627000,11031175,USD,1387.53
BK00016,04/12/2026,PAYROLL,1165000,,11030010,KRW,1.0
BK00017,04/13/2026,INTEREST,,834000,11030844,KRW,1.0
BK00018,04/13/2026,LC NEGOTIATION,,467000,11673464,USD,1376.06
BK00019,04/14/2026,BANK FEE,1050000,,10208997,USD,1394.73
BK00020,04/15/2026,IMPORT PAYMENT,1030000,,8808146,USD,1360.05
BK00021,04/16/2026,BANK FEE,329000,,8353632,USD,1381.5
BK00022,04/16/2026,LC NEGOTIATION,,777000,9428526,USD,1383.39
BK00023,04/17/2026,EXPORT PROCEEDS,,88000,9549265,USD,1372.03
BK00024,04/18/2026,INTEREST,,1200000,11214301,USD,1387.53
BK00025,04/19/2026,IMPORT PAYMENT,835000,,11213466,KRW,1.0
BK00026,04/19/2026,TT REMITTANCE IN,,203000,11515299,EUR,1486.86
BK00027,04/20/2026,IMPORT PAYMENT,407000,,10947908,USD,1394.08
BK00028,04/21/2026,EXPORT PROCEEDS,,419000,11528206,USD,1384.96
BK00029,04/22/2026,TT REMITTANCE OUT,623000,,11527583,KRW,1.0
BK00030,04/22/2026,IMPORT PAYMENT,130000,,11348010,USD,1381.33
BK00031,04/23/2026,TT REMITTANCE OUT,907000,,10107316,USD,1367.91
BK00032,04/24/2026,INTEREST,,1257000,11990139,EUR,1497.87
