전표번호,거래처명,품목명,공급가액,부가세,합계금액,발행일자,결제예정일,담당자,비고
IV260000,Qingdao Chem Group,복합운송,"65,200,000","6,520,000","71,720,000",2026.05.10,2026.06.09,최무역,재발행
IV260001, Mumbai Metal Corp ,납사,"18,200,000","1,820,000","20,020,000",2026.05.04,2026.07.03,,
IV260002,Shanghai Bright Intl,열연코일,"20,600,000","2,060,000","22,660,000",2026.04.08,2026.05.23,이수출,  
IV260003,Al-Rashid Trading,윤활기유,"73,400,000","7,340,000","80,740,000",2026.06.08,2026.07.23,김상무역,분할선적
IV260004,Mumbai Metal Corp,아연도금강판,"49,200,000","4,920,000","54,120,000",2026.04.20,2026.06.19,최무역,
IV260005,Gulf Petro Chem,개폐기,"40,500,000","4,050,000","44,550,000",2026.04.19,2026.06.03,박통상,재발행
IV260006,Hanoi AutoParts,옥수수,"83,100,000","8,310,000","91,410,000",2026.04.15,2026.05.15,이수출,긴급
IV260007,Emirates Steel Est.,차체부품,"24,700,000","2,470,000","27,170,000",2026.04.13,2026.05.28,박통상,
IV260008,Bangkok Grain House,전장부품,"36,200,000","3,620,000","39,820,000",2026.05.26,2026.06.25,최무역,
IV260009,Siam Power Ltd,대두,"42,700,000","4,270,000","46,970,000",2026.06.07,2026.07.22,이수출,긴급
IV260010,Emirates Steel Est.,몰드변압기,"13,700,000","1,370,000","15,070,000",2026.06.09,2026.08.08,이수출,
IV260011,Bangkok Grain House,구조용강관,"67,100,000","6,710,000","73,810,000",2026.04.18,2026.06.17,김상무역,확인要
IV260012,Nagoya Parts Co,샤시모듈,"29,800,000","2,980,000","32,780,000",2026.04.28,2026.06.27,김상무역,
IV260013,Gulf Petro Chem,샤시모듈,"3,300,000","330,000","3,630,000",2026.04.30,2026.06.14,박통상,
IV260014,Emirates Steel Est.,해상운송,"44,100,000","4,410,000","48,510,000",2026.04.11,2026.05.11,,
IV260015,Houston Energy LLC,전장부품,"900,000","90,000","990,000",2026.05.15,2026.06.14,박통상,확인要
IV260016,Houston Energy LLC,태양광모듈,"3,100,000","310,000","3,410,000",2026.06.05,2026.07.05,박통상,
IV260017, Shanghai Bright Intl ,전장부품,"32,000,000","3,200,000","35,200,000",2026.05.07,2026.06.21,,
IV260018,Nagoya Parts Co,윤활기유,"77,600,000","7,760,000","85,360,000",2026.04.16,2026.05.31,김상무역,  
IV260019,Viet Thanh Steel,샤시모듈,"18,000,000","1,800,000","19,800,000",2026.04.16,2026.06.15,박통상,
IV260020,Hanoi AutoParts,열연코일,"38,300,000","3,830,000","42,130,000",2026.05.09,2026.06.08,최무역,재발행
IV260021,Shanghai Bright Intl,샤시모듈,"8,700,000","870,000","9,570,000",2026.05.04,2026.07.03,박통상,재발행
IV260022,Lagos Agro Ltd,대두,"4,900,000","490,000","5,390,000",2026.05.26,2026.06.25,,
IV260023,Cairo Grid Co,PVC레진,"71,300,000","7,130,000","78,430,000",2026.04.12,2026.05.27,박통상,
IV260024,Hamburg Stahl GmbH,옥수수,"66,000,000","6,600,000","72,600,000",2026.04.25,2026.06.09,이수출,
IV260025,Al-Rashid Trading,해상운송,"36,800,000","3,680,000","40,480,000",2026.04.19,2026.06.18,이수출,
IV260026,Houston Energy LLC,복합운송,"16,700,000","1,670,000","18,370,000",2026.05.25,2026.06.24,박통상,
IV260027,Viet Thanh Steel,윤활기유,"42,900,000","4,290,000","47,190,000",2026.05.29,2026.07.28,박통상,긴급
IV260028,PT Nusantara Logam,윤활기유,"10,600,000","1,060,000","11,660,000",2026.06.04,2026.08.03,이수출,분할선적
IV260029,Siam Power Ltd,개폐기,"26,400,000","2,640,000","29,040,000",2026.04.14,2026.05.14,,분할선적
IV260030,Hanoi AutoParts,전장부품,"27,200,000","2,720,000","29,920,000",2026.05.13,2026.07.12,,
IV260031,Osaka Trading KK,전장부품,"67,100,000","6,710,000","73,810,000",2026.05.15,2026.06.14,,
IV260032,Qingdao Chem Group,태양광모듈,"39,200,000","3,920,000","43,120,000",2026.06.13,2026.07.28,김상무역,확인要
IV260033,PT Nusantara Logam,샤시모듈,"57,900,000","5,790,000","63,690,000",2026.05.02,2026.07.01,이수출,
IV260034,Al-Rashid Trading,열연코일,"1,000,000","100,000","1,100,000",2026.04.17,2026.06.01,박통상,
IV260035,Siam Power Ltd,ESS배터리,"68,900,000","6,890,000","75,790,000",2026.06.03,2026.08.02,,분할선적
IV260036,Mumbai Metal Corp,ESS배터리,"27,000,000","2,700,000","29,700,000",2026.04.17,2026.06.01,이수출,
IV260037,Dallas Solar Inc,냉연강판,"70,900,000","7,090,000","77,990,000",2026.06.02,2026.07.17,최무역,확인要
