사업부,월,매출액,수출비중,원화매출액,매출원가,매출총이익,판관비,영업이익,EBITDA,영업현금흐름,AR회전일수,AP회전일수
철강판재,2024-07,77878,73.9,20326,71388,6491,3115,3375,3843,2481,46,47
철강판재,2024-08,78361,70.8,22881,71535,6826,3147,3679,4149,3172,58,49
철강판재,2024-09,88692,73.3,23681,81964,6728,3461,3267,3799,2553,59,47
철강판재,2024-10,84342,69.1,26062,77900,6441,3171,3270,3776,2250,66,41
철강판재,2024-11,76985,69.6,23403,71158,5827,3089,2738,3200,1448,58,54
철강판재,2024-12,83132,69.4,25438,76316,6816,3165,3651,4150,2688,56,52
철강판재,2025-01,79592,71.3,22843,72801,6790,3280,3511,3988,3484,62,51
철강판재,2025-02,76796,70.3,22808,70066,6731,2774,3957,4418,2972,66,46
철강판재,2025-03,80410,72.7,21952,74400,6010,2980,3030,3512,1872,50,48
철강판재,2025-04,82467,72.7,22513,76427,6040,3339,2701,3196,1992,66,42
철강판재,2025-05,75892,73.2,20339,69969,5923,3081,2842,3297,2535,64,47
철강판재,2025-06,74919,73.3,20003,68618,6301,2811,3490,3940,2434,68,52
철강판재,2025-07,77011,73.9,20100,70434,6577,2974,3603,4065,2734,67,53
철강판재,2025-08,73882,67.3,24159,67181,6701,2951,3750,4193,2785,70,49
철강판재,2025-09,82462,69.9,24821,75616,6846,3259,3587,4082,1482,66,48
철강판재,2025-10,82625,74.6,20987,76614,6011,3080,2931,3427,2311,63,47
철강판재,2025-11,80061,71.8,22577,73536,6525,2995,3529,4010,2891,56,46
철강판재,2025-12,78105,73.4,20776,72692,5413,3033,2380,2848,1641,61,49
철강판재,2026-01,75005,75.5,18376,67966,7039,2988,4051,4501,3375,66,53
철강판재,2026-02,73559,75.4,18096,66446,7113,2838,4275,4717,3233,52,40
철강판재,2026-03,75691,72.6,20739,69506,6185,3063,3122,3577,2024,68,44
철강판재,2026-04,78879,74.8,19878,71713,7166,3024,4142,4615,2728,60,48
철강판재,2026-05,74943,71.7,21209,70115,4827,3067,1760,2210,1583,50,51
철강판재,2026-06,66760,69.0,20696,61231,5529,2666,2863,3264,2316,59,58
철강강관,2024-07,54964,82.0,9894,49608,5356,2488,2868,3198,2528,53,52
철강강관,2024-08,53728,81.0,10208,48512,5217,2325,2891,3214,2298,63,45
철강강관,2024-09,53806,80.2,10654,48543,5263,2167,3096,3419,1846,66,58
철강강관,2024-10,53874,81.7,9859,48546,5329,2398,2931,3254,2154,56,55
철강강관,2024-11,52702,80.5,10277,47618,5084,2317,2766,3083,2178,72,43
철강강관,2024-12,52944,81.8,9636,48122,4822,2330,2491,2809,1950,57,49
철강강관,2025-01,50433,78.9,10641,45868,4566,2045,2521,2824,2010,58,44
철강강관,2025-02,52874,82.8,9094,47903,4971,2308,2663,2980,2003,66,51
철강강관,2025-03,52241,84.6,8045,47500,4741,2355,2386,2699,2130,61,38
철강강관,2025-04,52573,81.5,9726,47842,4731,2301,2431,2746,1550,52,44
철강강관,2025-05,52752,80.4,10339,47567,5185,2243,2942,3258,2037,61,48
철강강관,2025-06,51507,82.2,9168,47319,4188,2386,1803,2112,958,55,52
철강강관,2025-07,53760,83.0,9139,48232,5528,2411,3118,3440,1900,60,43
철강강관,2025-08,53024,82.7,9173,47884,5140,2364,2776,3094,2744,64,50
철강강관,2025-09,53060,79.5,10877,48077,4983,2439,2545,2863,1705,52,40
철강강관,2025-10,51884,82.3,9183,46733,5151,2401,2750,3061,1881,62,42
철강강관,2025-11,51464,81.8,9366,46465,4999,2290,2709,3017,2319,49,49
철강강관,2025-12,50696,81.8,9227,46022,4674,2190,2484,2788,2174,66,54
철강강관,2026-01,53154,81.2,9993,48307,4846,2494,2353,2672,1314,66,50
철강강관,2026-02,50524,79.7,10256,45583,4941,2351,2590,2893,2491,57,46
철강강관,2026-03,51213,81.5,9474,46470,4743,2323,2420,2728,1963,52,55
철강강관,2026-04,50520,78.6,10811,46265,4255,2234,2021,2324,1841,55,53
철강강관,2026-05,49922,77.6,11183,45179,4743,2252,2491,2790,1674,65,48
철강강관,2026-06,50873,80.8,9768,46413,4459,2332,2127,2432,1426,68,49
차량소재,2024-07,62321,85.7,8912,55292,7029,2699,4330,4704,3225,55,49
차량소재,2024-08,61277,89.4,6495,54199,7078,2685,4393,4761,2707,53,44
차량소재,2024-09,61796,89.2,6674,54173,7623,2718,4906,5277,4277,59,44
차량소재,2024-10,61949,86.8,8177,54983,6967,2781,4186,4558,2738,54,45
차량소재,2024-11,66033,91.6,5547,57903,8130,2605,5525,5921,3432,69,46
차량소재,2024-12,62841,91.1,5593,55795,7046,2658,4388,4765,3348,69,41
차량소재,2025-01,61526,87.5,7691,53634,7892,2752,5140,5509,3370,60,39
차량소재,2025-02,63025,87.7,7752,55900,7125,2498,4627,5006,4087,58,46
차량소재,2025-03,63018,91.8,5167,56237,6781,2772,4008,4386,3225,63,54
차량소재,2025-04,64393,85.9,9079,57119,7274,2635,4640,5026,3614,81,50
