거래ID,선적일,구분,사업부,거래처,국가,품목,금액_USD,통화,인코텀즈,결제조건,결제예정일,결제상태,연체일수
TRD-25000,2025-02-04,수출,물류솔루션,Nagoya Parts Co,일본,복합운송,27100,USD,FOB,T/T 60,2025-04-19,완료,0
TRD-25001,2026-02-09,수입,철강강관,Gulf Petro Chem,사우디,송유관,143100,USD,CFR,T/T 30,2026-03-25,완료,0
TRD-25002,2026-05-20,삼국간,물류솔루션,Osaka Trading KK,일본,복합운송,275300,USD,CIF,L/C Usance 60,2026-08-02,예정,0
TRD-25003,2025-05-02,수입,물류솔루션,Houston Energy LLC,미국,복합운송,61700,USD,CFR,L/C Usance 60,2025-07-15,완료,0
TRD-25004,2026-05-03,수출,차량소재,Chennai Trans Co,인도,차체부품,65600,USD,CIF,L/C Usance 90,2026-08-15,예정,0
TRD-25005,2026-03-12,수출,화학에너지,Shanghai Bright Intl,중국,윤활기유,139400,USD,DAP,T/T 60,2026-05-25,완료,0
TRD-25006,2025-08-14,수입,식량자원,Bangkok Grain House,태국,대두,33800,USD,CIF,L/C Usance 90,2025-11-26,완료,0
TRD-25007,2025-01-22,수출,전력플랜트,PT Nusantara Logam,인도네시아,배전변압기,289300,USD,CFR,L/C Usance 60,2025-04-06,완료,0
TRD-25008,2026-03-10,수출,전력플랜트,Qingdao Chem Group,중국,개폐기,295500,USD,CFR,L/C at sight,2026-03-24,완료,0
TRD-25009,2026-02-27,수입,화학에너지,Emirates Steel Est.,UAE,윤활기유,596600,USD,DAP,T/T 30,2026-04-12,완료,0
TRD-25010,2025-01-31,수출,화학에너지,Emirates Steel Est.,UAE,PVC레진,145800,USD,DAP,T/T 30,2025-03-16,완료,0
TRD-25011,2025-08-14,수입,화학에너지,Lagos Agro Ltd,나이지리아,PVC레진,279500,USD,FOB,L/C at sight,2025-08-28,완료,0
TRD-25012,2026-06-13,수입,그린에너지,Cairo Grid Co,이집트,ESS배터리,560800,USD,CIF,L/C Usance 90,2026-09-25,예정,0
TRD-25013,2025-05-24,수출,화학에너지,Hanoi AutoParts,베트남,윤활기유,191700,USD,CFR,L/C Usance 60,2025-08-06,완료,0
TRD-25014,2025-02-26,수출,그린에너지,Chennai Trans Co,인도,인버터,596700,USD,CFR,T/T 60,2025-05-11,완료,0
TRD-25015,2026-04-11,수입,차량소재,Qingdao Chem Group,중국,차체부품,33100,USD,CIF,L/C Usance 60,2026-06-24,완료,0
TRD-25016,2025-09-20,수입,전력플랜트,Gulf Petro Chem,사우디,몰드변압기,87900,USD,FOB,L/C Usance 60,2025-12-03,완료,0
TRD-25017,2026-05-27,삼국간,철강판재,Lagos Agro Ltd,나이지리아,냉연강판,9200,USD,CFR,L/C Usance 60,2026-08-09,예정,0
TRD-25018,2025-04-11,수출,식량자원,Hamburg Stahl GmbH,독일,대두,92800,USD,CFR,T/T 30,2025-05-25,완료,0
TRD-25019,2025-02-26,수출,식량자원,Lagos Agro Ltd,나이지리아,옥수수,287900,USD,CFR,T/T 60,2025-05-11,연체,51
TRD-25020,2026-02-08,수출,물류솔루션,Hamburg Stahl GmbH,독일,해상운송,147900,USD,CFR,L/C Usance 60,2026-04-23,완료,0
TRD-25021,2025-09-11,삼국간,전력플랜트,Shanghai Bright Intl,중국,개폐기,86500,USD,FOB,L/C Usance 60,2025-11-24,완료,0
TRD-25022,2026-06-22,수출,식량자원,Houston Energy LLC,미국,옥수수,86300,USD,FOB,L/C Usance 60,2026-09-04,예정,0
TRD-25023,2025-12-18,수출,그린에너지,Hanoi AutoParts,베트남,ESS배터리,48100,USD,CIF,T/T 30,2026-01-31,완료,0
TRD-25024,2026-05-08,수입,철강판재,PT Nusantara Logam,인도네시아,아연도금강판,156800,USD,CFR,L/C Usance 90,2026-08-20,예정,0
TRD-25025,2025-10-03,수출,전력플랜트,Shanghai Bright Intl,중국,배전변압기,741800,USD,DAP,T/T 60,2025-12-16,완료,0
TRD-25026,2026-05-09,수출,철강강관,Al-Rashid Trading,UAE,구조용강관,577200,USD,DAP,L/C Usance 90,2026-08-21,예정,0
TRD-25027,2025-03-12,수출,화학에너지,Cairo Grid Co,이집트,PVC레진,51200,USD,CIF,T/T 30,2025-04-25,완료,0
TRD-25028,2025-09-25,수입,식량자원,Al-Rashid Trading,UAE,밀,391200,USD,CFR,T/T 60,2025-12-08,완료,0
TRD-25029,2025-02-08,수출,화학에너지,Nagoya Parts Co,일본,납사,95100,USD,CFR,L/C Usance 60,2025-04-23,완료,0
TRD-25030,2025-07-31,수출,그린에너지,Hanoi AutoParts,베트남,ESS배터리,193500,USD,FOB,T/T 30,2025-09-13,완료,0
TRD-25031,2025-08-16,수출,전력플랜트,Emirates Steel Est.,UAE,몰드변압기,109300,USD,FOB,L/C at sight,2025-08-30,완료,0
TRD-25032,2025-12-14,수출,철강판재,Nagoya Parts Co,일본,열연코일,425900,USD,DAP,L/C at sight,2025-12-28,완료,0
TRD-25033,2026-05-22,수출,차량소재,Shanghai Bright Intl,중국,전장부품,251600,USD,CFR,T/T 30,2026-07-05,예정,0
TRD-25034,2025-09-22,수출,그린에너지,Gulf Petro Chem,사우디,ESS배터리,131600,USD,FOB,L/C at sight,2025-10-06,완료,0
TRD-25035,2026-06-02,삼국간,화학에너지,Gulf Petro Chem,사우디,납사,461100,USD,CIF,T/T 60,2026-08-15,예정,0
TRD-25036,2026-05-02,수출,화학에너지,Viet Thanh Steel,베트남,납사,260200,USD,CFR,T/T 30,2026-06-15,완료,0
