사업부,월,예산매출,실적매출,차이,달성률,예산영업이익,실적영업이익,담당
철강판재,2024-07,75514,77878,2364,103.1,3467,3375,철강판재기획팀
철강판재,2024-08,80000,78361,-1639,98.0,3438,3679,철강판재기획팀
철강판재,2024-09,95043,88692,-6351,93.3,3541,3267,철강판재기획팀
철강판재,2024-10,84742,84342,-400,99.5,2909,3270,철강판재기획팀
철강판재,2024-11,71128,76985,5857,108.2,2651,2738,철강판재기획팀
철강판재,2024-12,81342,83132,1790,102.2,3691,3651,철강판재기획팀
철강판재,2025-01,80329,79592,-737,99.1,3960,3511,철강판재기획팀
철강판재,2025-02,74142,76796,2654,103.6,4183,3957,철강판재기획팀
철강판재,2025-03,81205,80410,-795,99.0,2893,3030,철강판재기획팀
철강판재,2025-04,85167,82467,-2700,96.8,2721,2701,철강판재기획팀
철강판재,2025-05,72417,75892,3475,104.8,2925,2842,철강판재기획팀
철강판재,2025-06,77073,74919,-2154,97.2,3289,3490,철강판재기획팀
철강판재,2025-07,64989,77011,12022,118.5,3314,3603,철강판재기획팀
철강판재,2025-08,70499,73882,3383,104.8,3630,3750,철강판재기획팀
철강판재,2025-09,84766,82462,-2304,97.3,3504,3587,철강판재기획팀
철강판재,2025-10,77012,82625,5613,107.3,3473,2931,철강판재기획팀
철강판재,2025-11,81774,80061,-1713,97.9,3411,3529,철강판재기획팀
철강판재,2025-12,75139,78105,2966,103.9,2108,2380,철강판재기획팀
철강판재,2026-01,73837,75005,1168,101.6,3913,4051,철강판재기획팀
철강판재,2026-02,73866,73559,-307,99.6,4340,4275,철강판재기획팀
철강판재,2026-03,71861,75691,3830,105.3,3191,3122,철강판재기획팀
철강판재,2026-04,76713,78879,2166,102.8,4080,4142,철강판재기획팀
철강판재,2026-05,69065,74943,5878,108.5,1788,1760,철강판재기획팀
철강판재,2026-06,61559,66760,5201,108.4,2803,2863,철강판재기획팀
철강강관,2024-07,55330,54964,-366,99.3,2451,2868,철강강관기획팀
철강강관,2024-08,52862,53728,866,101.6,2814,2891,철강강관기획팀
철강강관,2024-09,51417,53806,2389,104.6,3133,3096,철강강관기획팀
철강강관,2024-10,54362,53874,-488,99.1,3145,2931,철강강관기획팀
철강강관,2024-11,54083,52702,-1381,97.4,2807,2766,철강강관기획팀
철강강관,2024-12,52288,52944,656,101.3,2260,2491,철강강관기획팀
철강강관,2025-01,55121,50433,-4688,91.5,2592,2521,철강강관기획팀
철강강관,2025-02,53122,52874,-248,99.5,2282,2663,철강강관기획팀
철강강관,2025-03,53680,52241,-1439,97.3,2620,2386,철강강관기획팀
철강강관,2025-04,50011,52573,2562,105.1,2614,2431,철강강관기획팀
철강강관,2025-05,52673,52752,79,100.1,2932,2942,철강강관기획팀
철강강관,2025-06,48600,51507,2907,106.0,1634,1803,철강강관기획팀
철강강관,2025-07,54001,53760,-241,99.6,2663,3118,철강강관기획팀
철강강관,2025-08,50349,53024,2675,105.3,2821,2776,철강강관기획팀
철강강관,2025-09,50618,53060,2442,104.8,2250,2545,철강강관기획팀
철강강관,2025-10,49294,51884,2590,105.3,3022,2750,철강강관기획팀
철강강관,2025-11,55060,51464,-3596,93.5,2366,2709,철강강관기획팀
철강강관,2025-12,47584,50696,3112,106.5,2573,2484,철강강관기획팀
철강강관,2026-01,52674,53154,480,100.9,2440,2353,철강강관기획팀
철강강관,2026-02,50745,50524,-221,99.6,2565,2590,철강강관기획팀
철강강관,2026-03,49798,51213,1415,102.8,2323,2420,철강강관기획팀
철강강관,2026-04,50002,50520,518,101.0,1760,2021,철강강관기획팀
철강강관,2026-05,50731,49922,-809,98.4,2619,2491,철강강관기획팀
철강강관,2026-06,54050,50873,-3177,94.1,1949,2127,철강강관기획팀
차량소재,2024-07,57574,62321,4747,108.2,5136,4330,차량소재기획팀
차량소재,2024-08,57894,61277,3383,105.8,4512,4393,차량소재기획팀
차량소재,2024-09,61608,61796,188,100.3,4405,4906,차량소재기획팀
차량소재,2024-10,63650,61949,-1701,97.3,3559,4186,차량소재기획팀
차량소재,2024-11,65989,66033,44,100.1,5607,5525,차량소재기획팀
차량소재,2024-12,62444,62841,397,100.6,3747,4388,차량소재기획팀
차량소재,2025-01,60949,61526,577,100.9,5488,5140,차량소재기획팀
차량소재,2025-02,60272,63025,2753,104.6,5012,4627,차량소재기획팀
차량소재,2025-03,60231,63018,2787,104.6,3933,4008,차량소재기획팀
차량소재,2025-04,65624,64393,-1231,98.1,5003,4640,차량소재기획팀
차량소재,2025-05,64265,61760,-2505,96.1,4627,4544,차량소재기획팀
차량소재,2025-06,61318,63785,2467,104.0,4791,4628,차량소재기획팀
차량소재,2025-07,65177,64052,-1125,98.3,4796,4946,차량소재기획팀
차량소재,2025-08,68725,67429,-1296,98.1,5916,5887,차량소재기획팀
차량소재,2025-09,62051,63929,1878,103.0,4749,4686,차량소재기획팀
차량소재,2025-10,64387,64174,-213,99.7,4808,4794,차량소재기획팀
차량소재,2025-11,67182,65099,-2083,96.9,5035,5062,차량소재기획팀
차량소재,2025-12,65400,63824,-1576,97.6,4160,4839,차량소재기획팀
차량소재,2026-01,61545,65428,3883,106.3,4683,4721,차량소재기획팀
차량소재,2026-02,63001,64598,1597,102.5,4716,4938,차량소재기획팀
차량소재,2026-03,70171,66893,-3278,95.3,4126,4808,차량소재기획팀
차량소재,2026-04,66632,68004,1372,102.1,3952,4339,차량소재기획팀
차량소재,2026-05,66095,64111,-1984,97.0,4824,4208,차량소재기획팀
차량소재,2026-06,65606,66855,1249,101.9,4740,5108,차량소재기획팀
화학에너지,2024-07,73107,71565,-1542,97.9,4779,4722,화학에너지기획팀
화학에너지,2024-08,75883,72231,-3652,95.2,3626,3691,화학에너지기획팀
화학에너지,2024-09,73598,75481,1883,102.6,5281,4827,화학에너지기획팀
화학에너지,2024-10,72969,72631,-338,99.5,4968,4614,화학에너지기획팀
화학에너지,2024-11,76814,73230,-3584,95.3,5566,5002,화학에너지기획팀
화학에너지,2024-12,75079,73279,-1800,97.6,4310,4342,화학에너지기획팀
화학에너지,2025-01,77816,73640,-4176,94.6,5356,4885,화학에너지기획팀
화학에너지,2025-02,74015,76847,2832,103.8,5065,4689,화학에너지기획팀
화학에너지,2025-03,68533,71497,2964,104.3,4316,4404,화학에너지기획팀
화학에너지,2025-04,74717,72641,-2076,97.2,5645,5018,화학에너지기획팀
화학에너지,2025-05,73077,74956,1879,102.6,4217,4225,화학에너지기획팀
화학에너지,2025-06,72062,73003,941,101.3,4692,4573,화학에너지기획팀
화학에너지,2025-07,74043,74430,387,100.5,4800,4235,화학에너지기획팀
화학에너지,2025-08,71145,73439,2294,103.2,5554,5102,화학에너지기획팀
화학에너지,2025-09,69675,70269,594,100.9,4231,4646,화학에너지기획팀
화학에너지,2025-10,72725,74542,1817,102.5,5198,4491,화학에너지기획팀
