거래ID,거래처코드,거래처명,신용점수,국가리스크등급,거래금액_USD,결제조건일수,과거연체횟수,누적거래횟수,업력_년,담보여부,수출보험여부,연체여부
TX000000,P057,Summit Industries,488,5,108600.0,30,5,4,2.6,0,0,1
TX000001,P012,Prime Power,640,2,38600.0,60,1,60,5.1,0,1,0
TX000002,P028,Pacific Global,610,2,41900.0,60,1,51,14.6,0,1,0
TX000003,P089,Golden Power,818,1,612100.0,60,1,45,23.9,1,0,0
TX000004,P113,Meridian Agro,622,3,47500.0,30,2,52,8.1,0,0,0
TX000005,P067,Vega Materials,803,2,635200.0,30,0,51,22.4,0,0,0
TX000006,P026,Summit Materials,735,3,112300.0,60,0,31,8.1,0,0,0
TX000007,P075,Marina Industries,613,3,35300.0,60,1,49,11.9,1,0,0
TX000008,P046,Vega Agro,621,4,57200.0,60,0,56,9.0,0,1,1
TX000009,P114,Corona Logistics,741,1,224600.0,60,1,52,18.8,0,1,0
TX000010,P102,Falcon Power,784,1,289900.0,90,0,49,22.7,1,1,0
TX000011,P120,Orient Chemicals,637,2,70600.0,0,0,50,13.0,0,0,0
TX000012,P098,Marina Agro,655,3,25900.0,30,1,57,17.2,1,0,0
TX000013,P035,Sierra Materials,678,3,56000.0,90,1,66,8.4,1,0,0
TX000014,P117,Falcon Energy,691,2,92500.0,30,1,50,6.8,0,1,0
TX000015,P028,Pacific Global,627,2,39700.0,30,1,51,14.7,0,0,0
TX000016,P070,Crest Metals,819,1,764500.0,0,1,45,24.0,0,0,0
TX000017,P027,Summit Power,725,3,159300.0,30,1,21,3.3,0,1,0
TX000018,P062,Aurora Industries,658,3,104400.0,60,1,33,7.5,0,1,0
TX000019,P018,Marina Global,641,3,44000.0,30,1,58,15.1,0,0,0
TX000020,P061,Harbor Metals,656,2,63900.0,0,2,58,15.1,0,0,0
TX000021,P065,Crest Global,689,2,99900.0,60,0,15,14.2,0,0,1
TX000022,P014,Orient Global,818,1,302600.0,90,0,44,19.2,0,0,0
TX000023,P102,Falcon Power,796,1,242400.0,60,0,49,23.0,0,0,0
TX000024,P099,Aurora Global,688,1,91000.0,90,1,26,11.7,0,0,0
